StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3.1_1,Q3.1_2,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q8.1_1,Q8.1_2,Q9.1_1,Q9.1_2,Q9.1_3,Q9.1_4,Q10.3,Q11.1_1,Q11.2,Q11.3,Q11.3_5_TEXT
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Typically, studies that analyze preexisting observational datasets (such as the ALSPAC dataset) are:

Trustworthy—meaning that the results and conclusions of the publications are valid, reliable, rigorous, and accurate. That they merit trust.

Reproducible—in the sense that other researchers re-analysing the data with the same research question would produce similar results. - Trustworthy","Typically, studies that analyze preexisting observational datasets (such as the ALSPAC dataset) are:

Trustworthy—meaning that the results and conclusions of the publications are valid, reliable, rigorous, and accurate. That they merit trust.

Reproducible—in the sense that other researchers re-analysing the data with the same research question would produce similar results. - Reproducible",The studies using preexisting observational data that I am involved in... - Are preregistered,"The studies using preexisting observational data that I am involved in... - Blind the data analyst (e.g., by masking labels for categorical variables of interest)",The studies using preexisting observational data that I am involved in... - Share analysis scripts in an openly accessible repository,The studies using preexisting observational data that I am involved in... - Contain confirmatory analyses,The studies using preexisting observational data that I am involved in... - Contain exploratory analyses,"Compared to a typical study using preexisting observational data, a study using an ECAW would be...

Trustworthy—meaning, that the results and conclusions of the publications are valid, reliable, rigorous, and accurate. That they merit trust.

Reproducible—in the sense that other researchers re-analysing the data with the same research question would produce similar results. - Trustworthy","Compared to a typical study using preexisting observational data, a study using an ECAW would be...

Trustworthy—meaning, that the results and conclusions of the publications are valid, reliable, rigorous, and accurate. That they merit trust.

Reproducible—in the sense that other researchers re-analysing the data with the same research question would produce similar results. - Reproducible","Thinking about a study you may run with ALSPAC data (or one that you have recently run)... - If ALSPAC required that I use an ECAW, I would be less willing to use their data in my research","Thinking about a study you may run with ALSPAC data (or one that you have recently run)... - If ALSPAC ran a study on ECAWs, I would opt-in.",Thinking about a study you may run with ALSPAC data (or one that you have recently run)... - ALSPAC should run a study on ECAWs.,Thinking about a study you may run with ALSPAC data (or one that you have recently run)... - I would prefer using an ECAW than using typical preregistration,May the research team contact you about potential focus groups related to the themes of this survey.,"Compared to what you think of as a typical researcher who uses preexisting observational data in your field, how concerned are you with research trustworthiness, bias, rigour, and reproducibility.","Approximately how many studies have you published using a preexisting observational dataset (e.g., the ALSPAC dataset)?",What programming language or software do you use for your analyses of preexisting observational data? (you may select multiple answers) - Selected Choice,What programming language or software do you use for your analyses of preexisting observational data? (you may select multiple answers) - Other (please describe) - Text
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_4""}","{""ImportId"":""QID17""}","{""ImportId"":""QID21_11""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_5_TEXT""}"
2022-10-10 12:17,2022-10-10 12:20,IP Address,100,170,TRUE,2022-10-10 12:20,R_BGk3PU03K0bBdMB,anonymous,EN-GB,Neither agree nor disagree,Somewhat disagree,Most of the time,Never or almost never,About half the time,Most of the time,Sometimes,About the same,About the same,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,more concerned,5,R,
2022-10-10 12:20,2022-10-10 12:25,IP Address,100,286,TRUE,2022-10-10 12:25,R_3fisqbWEBZPracm,anonymous,EN-GB,Somewhat agree,Somewhat agree,Most of the time,About half the time,Most of the time,Always or almost always,About half the time,Much more,Much more,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,No,more concerned,12,"Stata,R",
2022-10-10 12:23,2022-10-10 12:26,IP Address,100,166,TRUE,2022-10-10 12:26,R_2EtryvOsbZ0rxxH,anonymous,EN-GB,Somewhat agree,Somewhat agree,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Much more,Much more,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,No,as concerned as a typical researcher in my field,8,R,
2022-10-10 12:19,2022-10-10 12:27,IP Address,100,493,TRUE,2022-10-10 12:27,R_Ap5HSxdDcFOYoPD,anonymous,EN-GB,Neither agree nor disagree,Strongly agree,Sometimes,Never or almost never,Sometimes,Sometimes,Sometimes,Somewhat more,Much more,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,No,as concerned as a typical researcher in my field,1,"R,Other (please describe)","SPSS, MATLAB"
2022-10-10 12:31,2022-10-10 12:33,IP Address,100,116,TRUE,2022-10-10 12:33,R_2Bmn9ite97fNcV6,anonymous,EN-GB,Somewhat agree,Somewhat agree,Always or almost always,Sometimes,About half the time,About half the time,Most of the time,Much more,Much more,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,as concerned as a typical researcher in my field,0,R,
2022-10-10 12:37,2022-10-10 12:39,IP Address,100,160,TRUE,2022-10-10 12:39,R_1lzxHTRp9DeYxh0,anonymous,EN-GB,Somewhat disagree,Somewhat disagree,Never or almost never,Never or almost never,About half the time,About half the time,Always or almost always,Somewhat more,Much more,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,No,more concerned,50,"Stata,R",
2022-10-10 12:23,2022-10-10 12:46,IP Address,100,1383,TRUE,2022-10-10 12:46,R_2BbULZm8ogXeJlS,anonymous,EN-GB,Somewhat agree,Somewhat agree,About half the time,Never or almost never,Always or almost always,About half the time,About half the time,Somewhat more,Somewhat more,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",somewhat more concerned,20,"Stata,R",
2022-10-10 12:40,2022-10-10 12:52,IP Address,100,698,TRUE,2022-10-10 12:52,R_2v8mlnwwirg6hVB,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Never or almost never,Most of the time,Most of the time,Somewhat more,About the same,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,somewhat more concerned,35,Stata,
2022-10-10 12:50,2022-10-10 12:53,IP Address,100,169,TRUE,2022-10-10 12:53,R_vojO4HJ0tZpt3Oh,anonymous,EN-GB,Somewhat agree,Somewhat agree,Always or almost always,Never or almost never,About half the time,Most of the time,Most of the time,Much more,Much more,Unsure,Strongly agree,Somewhat agree,Unsure,No,somewhat more concerned,0,"Stata,R",
2022-10-10 12:40,2022-10-10 12:56,IP Address,100,939,TRUE,2022-10-10 12:56,R_3O0JRNuGJsi3nr5,anonymous,EN-GB,Somewhat agree,Somewhat agree,Sometimes,Never or almost never,About half the time,About half the time,About half the time,Somewhat more,Much more,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",as concerned as a typical researcher in my field,40,"Stata,R,Other (please describe)",Mplus
2022-10-10 12:46,2022-10-10 13:00,IP Address,100,807,TRUE,2022-10-10 13:00,R_3dKZ6OERuQ0Z6sq,anonymous,EN-GB,Somewhat disagree,Strongly agree,Never or almost never,I don't understand the question,Sometimes,I don't understand the question,Sometimes,Somewhat more,Much more,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,No,as concerned as a typical researcher in my field,30,Stata,
2022-10-10 12:55,2022-10-10 13:05,IP Address,100,637,TRUE,2022-10-10 13:05,R_T5G63Qtq9y8RstP,anonymous,EN-GB,Somewhat agree,Neither agree nor disagree,Sometimes,Never or almost never,Sometimes,Sometimes,Most of the time,Somewhat more,Somewhat more,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",more concerned,40,Stata,
2022-10-10 12:58,2022-10-10 13:06,IP Address,100,430,TRUE,2022-10-10 13:06,R_272l4A0H9tuJYBB,anonymous,EN-GB,Somewhat agree,Somewhat disagree,Sometimes,Never or almost never,Most of the time,Most of the time,Most of the time,Somewhat more,Somewhat more,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",as concerned as a typical researcher in my field,20,R,
2022-10-10 12:58,2022-10-10 13:08,IP Address,100,578,TRUE,2022-10-10 13:08,R_1mhqtXHXMRKu7Gn,anonymous,EN-GB,Neither agree nor disagree,Strongly agree,Sometimes,Never or almost never,Never or almost never,I don't understand the question,I don't understand the question,Somewhat more,About the same,Strongly disagree,Strongly disagree,Unsure,Unsure,No,somewhat more concerned,5,Stata,
2022-10-10 13:06,2022-10-10 13:13,IP Address,100,421,TRUE,2022-10-10 13:13,R_2uIgEnKuOIWuww5,anonymous,EN-GB,Somewhat agree,Somewhat disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Sometimes,Somewhat more,Much more,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,No,as concerned as a typical researcher in my field,2,Other (please describe),spss
2022-10-10 13:29,2022-10-10 13:35,IP Address,100,358,TRUE,2022-10-10 13:35,R_1rxk5AT7EoZJo9J,anonymous,EN-GB,Strongly agree,Strongly agree,Most of the time,Never or almost never,About half the time,Sometimes,Always or almost always,About the same,About the same,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,No,somewhat more concerned,6,Stata,
2022-10-10 13:29,2022-10-10 13:48,IP Address,100,1139,TRUE,2022-10-10 13:48,R_28zBxG1HdNpUyFf,anonymous,EN-GB,Somewhat agree,Somewhat agree,Sometimes,Never or almost never,Sometimes,Sometimes,Most of the time,Somewhat more,Somewhat more,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,No,more concerned,,Stata,
2022-10-10 13:51,2022-10-10 13:53,IP Address,100,160,TRUE,2022-10-10 13:53,R_3qr9uw1HGF53UiJ,anonymous,EN-GB,Somewhat agree,Strongly agree,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,,,,,,,,,,,
2022-10-10 13:47,2022-10-10 13:55,IP Address,100,481,TRUE,2022-10-10 13:55,R_1hxU6b4SXW8OmY0,anonymous,EN-GB,Neither agree nor disagree,Somewhat agree,Never or almost never,Never or almost never,Always or almost always,Sometimes,Sometimes,Somewhat more,About the same,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,No,as concerned as a typical researcher in my field,70,R,
2022-10-10 13:56,2022-10-10 14:02,IP Address,100,338,TRUE,2022-10-10 14:02,R_b1TbzIvhmzZ4HqV,anonymous,EN-GB,Somewhat agree,Somewhat agree,Sometimes,Never or almost never,Sometimes,Sometimes,Most of the time,About the same,Somewhat more,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,No,as concerned as a typical researcher in my field,3,Stata,
2022-10-10 14:12,2022-10-10 14:16,IP Address,100,204,TRUE,2022-10-10 14:16,R_qRyUvPBcd7PgQzD,anonymous,EN-GB,Strongly agree,Strongly agree,Sometimes,Never or almost never,Never or almost never,Most of the time,About half the time,Somewhat more,About the same,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",Very much more concerned,0,R,
2022-10-10 14:33,2022-10-10 14:38,IP Address,100,352,TRUE,2022-10-10 14:38,R_27H8G7BOCuvd1ek,anonymous,EN-GB,Somewhat agree,Strongly agree,Always or almost always,Never or almost never,About half the time,About half the time,About half the time,About the same,About the same,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,No,more concerned,30,R,
2022-10-10 14:27,2022-10-10 14:46,IP Address,100,1141,TRUE,2022-10-10 14:46,R_3Lbgs8pGo6pmPnc,anonymous,EN-GB,Somewhat agree,Strongly agree,Sometimes,Sometimes,Never or almost never,About half the time,Most of the time,About the same,About the same,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,somewhat more concerned,20,"R,Other (please describe)",SPSS
2022-10-10 13:30,2022-10-10 15:15,IP Address,100,6296,TRUE,2022-10-10 15:15,R_3PNNx041vuLqG2x,anonymous,EN-GB,Somewhat agree,Somewhat agree,About half the time,Never or almost never,Most of the time,Most of the time,Most of the time,Much more,Much more,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,No,somewhat more concerned,50,"Stata,R",
2022-10-10 14:59,2022-10-10 15:15,IP Address,100,1011,TRUE,2022-10-10 15:15,R_bs8Y1H1THBh5Gud,anonymous,EN-GB,Neither agree nor disagree,Somewhat agree,Never or almost never,Never or almost never,Never or almost never,Most of the time,Most of the time,Somewhat more,Much more,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",more concerned,30,Stata,
2022-10-10 15:18,2022-10-10 15:21,IP Address,100,143,TRUE,2022-10-10 15:21,R_3sc9fxB15Uj4D4K,anonymous,EN-GB,Somewhat agree,Somewhat agree,Always or almost always,Most of the time,Always or almost always,Always or almost always,Always or almost always,Somewhat more,Somewhat more,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,more concerned,1,R,
2022-10-10 15:14,2022-10-10 15:23,IP Address,100,575,TRUE,2022-10-10 15:23,R_p5hg6e066EjByyR,anonymous,EN-GB,Somewhat agree,Somewhat disagree,Sometimes,Never or almost never,Most of the time,About half the time,Most of the time,Somewhat more,Somewhat more,Strongly disagree,Unsure,Unsure,Somewhat agree,No,as concerned as a typical researcher in my field,0,R,
2022-10-10 15:48,2022-10-10 16:05,IP Address,100,1028,TRUE,2022-10-10 16:05,R_RLbR49v8MdNyvaV,anonymous,EN-GB,Somewhat agree,Somewhat agree,Always or almost always,Always or almost always,About half the time,About half the time,Sometimes,I don't understand the question,Somewhat less,Somewhat agree,Somewhat disagree,Unsure,Somewhat disagree,No,more concerned,25,"Stata,SAS,Other (please describe)",spss
2022-10-10 17:06,2022-10-10 17:11,IP Address,100,314,TRUE,2022-10-10 17:11,R_xlJGS9VrdVbHiKt,anonymous,EN-GB,Strongly agree,Strongly agree,Sometimes,Never or almost never,I don't understand the question,About half the time,About half the time,I don't understand the question,I don't understand the question,Somewhat agree,I don't understand the question,I don't understand the question,I don't understand the question,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",,1,Other (please describe),"I don't use analysis software, I use ALSPAC to answer samples that I then analyse myself."
2022-10-10 17:56,2022-10-10 18:05,IP Address,100,527,TRUE,2022-10-10 18:05,R_UmxjycwKRGJ6jzr,anonymous,EN-GB,Somewhat disagree,Strongly agree,Always or almost always,Never or almost never,Sometimes,I don't understand the question,Most of the time,Somewhat more,Somewhat less,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",more concerned,10,Other (please describe),SPSS
2022-10-10 19:39,2022-10-10 19:54,IP Address,100,879,TRUE,2022-10-10 19:54,R_114ogVSqtOlQU82,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Always or almost always,Always or almost always,Always or almost always,Somewhat more,Somewhat more,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",somewhat more concerned,5,"R,Python,Other (please describe)",Nextflow
2022-10-10 21:24,2022-10-10 21:27,IP Address,100,195,TRUE,2022-10-10 21:27,R_2qE0UoBG2t74yxT,anonymous,EN-GB,Somewhat disagree,Somewhat agree,Never or almost never,Never or almost never,Always or almost always,Most of the time,Most of the time,About the same,Somewhat more,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",as concerned as a typical researcher in my field,6,R,
2022-10-10 23:32,2022-10-10 23:37,IP Address,100,318,TRUE,2022-10-10 23:37,R_3qOSaKoUANLEITh,anonymous,EN-GB,Strongly agree,Somewhat agree,Never or almost never,Never or almost never,Most of the time,Most of the time,Most of the time,Somewhat more,Much more,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,No,somewhat more concerned,,"Stata,R",
2022-10-11 2:26,2022-10-11 2:27,IP Address,100,49,TRUE,2022-10-11 2:27,R_2ZVO2mDq0eBPYDn,anonymous,EN-GB,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,
2022-10-11 4:19,2022-10-11 4:38,IP Address,100,1155,TRUE,2022-10-11 4:38,R_1E5Lj2fCsvccnA6,anonymous,EN-GB,Somewhat agree,Somewhat agree,Always or almost always,Never or almost never,Most of the time,About half the time,About half the time,About the same,About the same,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,No,as concerned as a typical researcher in my field,1,R,
2022-10-11 9:10,2022-10-11 9:34,IP Address,100,1431,TRUE,2022-10-11 9:34,R_rfp3Fw9v2py3zgJ,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Sometimes,Most of the time,Most of the time,Somewhat more,About the same,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,No,less concerned,20,"Stata,SAS,R",
2022-10-11 10:45,2022-10-11 10:54,IP Address,100,536,TRUE,2022-10-11 10:54,R_1j9UFgr0hQHThOE,anonymous,EN-GB,Somewhat disagree,Somewhat disagree,I don't understand the question,Never or almost never,Never or almost never,Always or almost always,Sometimes,About the same,Much more,Neither agree nor disagree,Unsure,Somewhat agree,Unsure,No,as concerned as a typical researcher in my field,20,Stata,
2022-10-11 11:34,2022-10-11 11:49,IP Address,100,869,TRUE,2022-10-11 11:49,R_XSZ9w9dGKvDKdMd,anonymous,EN-GB,Somewhat agree,Somewhat agree,Sometimes,Never or almost never,Most of the time,Most of the time,Most of the time,Much more,Somewhat more,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",as concerned as a typical researcher in my field,50,"R,Python",
2022-10-11 16:08,2022-10-11 16:31,IP Address,100,1398,TRUE,2022-10-11 16:31,R_1jIbPDfEMb2MJn4,anonymous,EN-GB,Somewhat disagree,Somewhat disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,About the same,About the same,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,,Very much more concerned,30,"SAS,R,Python",
2022-10-11 16:58,2022-10-11 17:05,IP Address,100,443,TRUE,2022-10-11 17:05,R_sAy2jQbF30snkop,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Sometimes,Sometimes,Always or almost always,About the same,Much more,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,Very much more concerned,30,"SAS,R",
2022-10-11 18:11,2022-10-11 18:16,IP Address,100,275,TRUE,2022-10-11 18:16,R_8C9w5gC8SgoDiXD,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Sometimes,About half the time,Most of the time,Somewhat more,Somewhat more,Neither agree nor disagree,I don't understand the question,Neither agree nor disagree,Neither agree nor disagree,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",somewhat more concerned,4,R,
2022-10-12 9:29,2022-10-12 9:40,IP Address,100,638,TRUE,2022-10-12 9:40,R_278WK3iZARtzSmV,anonymous,EN-GB,Somewhat disagree,Somewhat disagree,Never or almost never,Never or almost never,Never or almost never,Sometimes,Most of the time,Somewhat more,Much more,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,No,somewhat more concerned,0,SAS,
2022-10-12 9:40,2022-10-12 9:46,IP Address,100,322,TRUE,2022-10-12 9:46,R_RIAF95EXAlOJMd3,anonymous,EN-GB,Neither agree nor disagree,Neither agree nor disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Most of the time,About the same,Much more,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,No,Very much more concerned,50,Stata,
2022-10-12 13:41,2022-10-12 13:52,IP Address,100,708,TRUE,2022-10-12 13:52,R_2wahOxBdxBQX0dK,anonymous,EN-GB,Neither agree nor disagree,Somewhat disagree,Sometimes,Never or almost never,Sometimes,Sometimes,Always or almost always,Somewhat more,Somewhat more,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",as concerned as a typical researcher in my field,20,"Stata,R",
2022-10-12 16:59,2022-10-12 17:05,IP Address,100,349,TRUE,2022-10-12 17:05,R_2WYWb5qeJSfBBFP,anonymous,EN-GB,Strongly agree,Strongly agree,Never or almost never,I don't understand the question,Sometimes,Most of the time,Sometimes,About the same,About the same,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,Very much more concerned,2,Stata,
2022-10-11 9:10,2022-10-12 18:42,IP Address,100,120698,TRUE,2022-10-12 18:42,R_3iQHcAwCVxBXAEd,anonymous,EN-GB,Somewhat agree,Somewhat agree,Always or almost always,Never or almost never,Always or almost always,Most of the time,Sometimes,Somewhat more,Somewhat more,,,,,,,,,
2022-10-13 18:04,2022-10-13 18:28,IP Address,100,1419,TRUE,2022-10-13 18:28,R_3Jz3mWUGIXuogLv,anonymous,EN-GB,Strongly agree,Strongly agree,Most of the time,Never or almost never,Sometimes,Sometimes,About half the time,Much more,Much more,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",more concerned,0,R,
2022-10-15 23:30,2022-10-15 23:36,IP Address,100,406,TRUE,2022-10-15 23:36,R_wU9Kjv2znIWEMDL,anonymous,EN-GB,Somewhat agree,Somewhat agree,Sometimes,Never or almost never,Most of the time,Always or almost always,Never or almost never,Much more,Much more,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",somewhat more concerned,12,"Stata,R",
2022-10-16 14:28,2022-10-16 14:32,IP Address,100,258,TRUE,2022-10-16 14:32,R_0DtrCDDLGMEXNNT,anonymous,EN-GB,Neither agree nor disagree,Neither agree nor disagree,Never or almost never,Never or almost never,Never or almost never,Always or almost always,Sometimes,Somewhat more,Somewhat more,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,No,somewhat more concerned,20,Stata,
2022-10-17 10:28,2022-10-17 10:32,IP Address,100,275,TRUE,2022-10-17 10:32,R_30o3HJmX6rQFhZG,anonymous,EN-GB,Somewhat agree,Somewhat agree,About half the time,Never or almost never,About half the time,I don't understand the question,About half the time,Somewhat more,Somewhat more,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,No,somewhat more concerned,20,"Stata,R",
2022-10-17 10:32,2022-10-17 10:36,IP Address,100,225,TRUE,2022-10-17 10:36,R_1AJCjayxMo9wusN,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Never or almost never,Sometimes,Sometimes,Somewhat more,About the same,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,No,more concerned,20,"Stata,SAS,Other (please describe)",SPSS
2022-10-17 10:32,2022-10-17 10:37,IP Address,100,302,TRUE,2022-10-17 10:37,R_C2GgQ2azeHraB7X,anonymous,EN-GB,Somewhat agree,Somewhat agree,About half the time,Never or almost never,Sometimes,Most of the time,Sometimes,Somewhat more,About the same,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,No,as concerned as a typical researcher in my field,10,R,
2022-10-17 10:33,2022-10-17 10:49,IP Address,100,916,TRUE,2022-10-17 10:49,R_WqG669wgrQc8A0N,anonymous,EN-GB,Somewhat disagree,Somewhat disagree,Never or almost never,I don't understand the question,Never or almost never,Most of the time,Most of the time,About the same,About the same,Somewhat agree,Somewhat disagree,Somewhat agree,Unsure,No,more concerned,50,Stata,
