StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3.1_1,Q3.1_2,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q8.1_1,Q8.1_2,Q9.1_1,Q9.1_2,Q9.1_3,Q9.1_4,Q9.2,Q10.1,Q10.2,Q10.3,Q11.1_1,Q11.2,Q11.3,Q11.3_5_TEXT,Q11.4
2022-10-10 17:56:33,2022-10-10 18:05:21,IP Address,100,527,True,2022-10-10 18:05:21,R_UmxjycwKRGJ6jzr,anonymous,EN-GB,Somewhat disagree,Strongly agree,Always or almost always,Never or almost never,Sometimes,I don't understand the question,Most of the time,Somewhat more,Somewhat less,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,"Even with an ECAw there is a risk of confounding which may just be by an unmeasured variable or incompletely adjusted.  So one might get a consistent result that is nonetheless still untrue  ",,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",more concerned,10,Other (please describe),SPSS,
2022-10-10 19:39:26,2022-10-10 19:54:05,IP Address,100,879,True,2022-10-10 19:54:06,R_114ogVSqtOlQU82,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Always or almost always,Always or almost always,Always or almost always,Somewhat more,Somewhat more,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,"We typically run GWAS analyses where we effectively compare >1 million categories (=number of independent common genetic variants) in a single analysis. I feel that in this type on analysis, researcher bias is less likely to play a big role, because the genetic variants are largely uncorrelated with each other and biasing your analysis to overfit for one variant will reduce the power for all other variants. Furthermore, the technical biases influencing GWAS results (population stratification, outlier phenotypes, etc) can only be detected with large sample sizes. I feel that in setting ECAW would add a lot of extra work without clear benefit. I do like the idea that it makes it compulsory to share analysis code.",See response to previous question.,,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",somewhat more concerned,5,"R,Python,Other (please describe)",Nextflow,
2022-10-10 21:24:32,2022-10-10 21:27:48,IP Address,100,195,True,2022-10-10 21:27:48,R_2qE0UoBG2t74yxT,anonymous,EN-GB,Somewhat disagree,Somewhat agree,Never or almost never,Never or almost never,Always or almost always,Most of the time,Most of the time,About the same,Somewhat more,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,"Pre-reg is commonly accepted, seems like another beuracratic thing to add to pre-reg",,,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",as concerned as a typical researcher in my field,6,R,,
2022-10-10 23:32:18,2022-10-10 23:37:36,IP Address,100,318,True,2022-10-10 23:37:37,R_3qOSaKoUANLEITh,anonymous,EN-GB,Strongly agree,Somewhat agree,Never or almost never,Never or almost never,Most of the time,Most of the time,Most of the time,Somewhat more,Much more,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,,,No,somewhat more concerned,,"Stata,R",,
2022-10-11 02:26:56,2022-10-11 02:27:45,IP Address,100,49,True,2022-10-11 02:27:46,R_2ZVO2mDq0eBPYDn,anonymous,EN-GB,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,
2022-10-11 04:19:20,2022-10-11 04:38:36,IP Address,100,1155,True,2022-10-11 04:38:37,R_1E5Lj2fCsvccnA6,anonymous,EN-GB,Somewhat agree,Somewhat agree,Always or almost always,Never or almost never,Most of the time,About half the time,About half the time,About the same,About the same,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,"I am not sure that I clearly understand the Explore and Confirm Workflow (ECAW); however, my concern is that others would have access to a novel experimental idea at its implementation/testing stage and could negatively impact its ability to move forward.",,Remove monetary restrictions for access to the dataset and encourage collabration between researchers pursuing similar lines of inquiry.,No,as concerned as a typical researcher in my field,1,R,,
2022-10-11 09:10:45,2022-10-11 09:34:36,IP Address,100,1431,True,2022-10-11 09:34:36,R_rfp3Fw9v2py3zgJ,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Sometimes,Most of the time,Most of the time,Somewhat more,About the same,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,"There is always the risk of multiple teams studying the same topic in publicly available data sets with risk of overlapping findings and efforts that could have been spent on other topics.

An easily searchable register could help, with information about which research questions are being studied with this data, which variables are used, who is conducting these analyses and whether there is scope to liaise with this team to discuss possible overlap, and exchange of knowledge/scripts. ",No,less concerned,20,"Stata,SAS,R",,
2022-10-11 10:45:41,2022-10-11 10:54:37,IP Address,100,536,True,2022-10-11 10:54:38,R_1j9UFgr0hQHThOE,anonymous,EN-GB,Somewhat disagree,Somewhat disagree,I don't understand the question,Never or almost never,Never or almost never,Always or almost always,Sometimes,About the same,Much more,Neither agree nor disagree,Unsure,Somewhat agree,Unsure,"I'm unsure if 500 would be adequate for some analyses - e.g. complex MLM, specifying imputation models.  For example, I know from previous work that imputation models that work on a subset of data can then fail to converge on a larger sample (or vice versa).  ",,,No,as concerned as a typical researcher in my field,20,Stata,,
2022-10-11 11:34:47,2022-10-11 11:49:17,IP Address,100,869,True,2022-10-11 11:49:17,R_XSZ9w9dGKvDKdMd,anonymous,EN-GB,Somewhat agree,Somewhat agree,Sometimes,Never or almost never,Most of the time,Most of the time,Most of the time,Much more,Somewhat more,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,I would be very happy to use ALSPAC in a ECAW setting. The more studies use ECAW the better it will be for science.,"There is always the possibility that data subset provided initially isn't representative of the full dataset, resulting in problems not anticipated by the prepared script, e.g. a pattern of missing values or technical artefact causing a statistical model to fail. This would actually be really informative about the dataset and about how to select a subset, but it would require some kind of protocol for verifying the type of error encountered and whether or not it is the kind that should allow revision and reanalysis. For these and other reasons, ECAW will likely significantly increase the workload for those providing ALSPAC data to users. ",,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",as concerned as a typical researcher in my field,50,"R,Python",,
2022-10-11 16:08:28,2022-10-11 16:31:47,IP Address,100,1398,True,2022-10-11 16:31:47,R_1jIbPDfEMb2MJn4,anonymous,EN-GB,Somewhat disagree,Somewhat disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,About the same,About the same,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,,"Ultimately the statistical findings from retrospective studies of big data are largely hypothesis generating anyway. Rarely, however, are they pursued at a deeper or independent level. Furthermore, regardless of what is pre-registered or “ECAWed” a vast number of analyses are performed by a vast number of investigators and selectively presented, kind of like candidate gene studies but on steroids.",,,Very much more concerned,30,"SAS,R,Python",,"This field has major problems but the solution to those is primarily in the domain of following through on statistical findings with more and better science. If anything, preregistration approaches probably hurt more than help. Unless it’s a clinical trial (whole different ballgame) whether a research study is pre registered has no impact on my confidence in it."
2022-10-11 16:58:03,2022-10-11 17:05:27,IP Address,100,443,True,2022-10-11 17:05:27,R_sAy2jQbF30snkop,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Sometimes,Sometimes,Always or almost always,About the same,Much more,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,Require code to be submitted upon conclusion of the study,No,Very much more concerned,30,"SAS,R",,
2022-10-11 18:11:53,2022-10-11 18:16:28,IP Address,100,275,True,2022-10-11 18:16:29,R_8C9w5gC8SgoDiXD,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Sometimes,About half the time,Most of the time,Somewhat more,Somewhat more,Neither agree nor disagree,I don't understand the question,Neither agree nor disagree,Neither agree nor disagree,,,,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",somewhat more concerned,4,R,,
2022-10-12 09:29:47,2022-10-12 09:40:25,IP Address,100,638,True,2022-10-12 09:40:25,R_278WK3iZARtzSmV,anonymous,EN-GB,Somewhat disagree,Somewhat disagree,Never or almost never,Never or almost never,Never or almost never,Sometimes,Most of the time,Somewhat more,Much more,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,No,somewhat more concerned,0,SAS,,
2022-10-12 09:40:43,2022-10-12 09:46:05,IP Address,100,322,True,2022-10-12 09:46:06,R_RIAF95EXAlOJMd3,anonymous,EN-GB,Neither agree nor disagree,Neither agree nor disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Most of the time,About the same,Much more,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,,,,No,Very much more concerned,50,Stata,,
2022-10-12 13:41:04,2022-10-12 13:52:53,IP Address,100,708,True,2022-10-12 13:52:53,R_2wahOxBdxBQX0dK,anonymous,EN-GB,Neither agree nor disagree,Somewhat disagree,Sometimes,Never or almost never,Sometimes,Sometimes,Always or almost always,Somewhat more,Somewhat more,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,"I have never worked with a data set which is sufficiently clean and well designed, that changes in the way analysis is conducted are not necessary after having access to data and trying to clean it. ","I like the idea of working with a random sample to help design analysis first, but not sure practical it would be with rare outcomes. ",,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",as concerned as a typical researcher in my field,20,"Stata,R",,
2022-10-12 16:59:29,2022-10-12 17:05:18,IP Address,100,349,True,2022-10-12 17:05:18,R_2WYWb5qeJSfBBFP,anonymous,EN-GB,Strongly agree,Strongly agree,Never or almost never,I don't understand the question,Sometimes,Most of the time,Sometimes,About the same,About the same,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,,Very much more concerned,2,Stata,,
2022-10-11 09:10:54,2022-10-12 18:42:32,IP Address,100,120698,True,2022-10-12 18:42:33,R_3iQHcAwCVxBXAEd,anonymous,EN-GB,Somewhat agree,Somewhat agree,Always or almost always,Never or almost never,Always or almost always,Most of the time,Sometimes,Somewhat more,Somewhat more,,,,,,,,,,,,,
2022-10-13 18:04:47,2022-10-13 18:28:26,IP Address,100,1419,True,2022-10-13 18:28:27,R_3Jz3mWUGIXuogLv,anonymous,EN-GB,Strongly agree,Strongly agree,Most of the time,Never or almost never,Sometimes,Sometimes,About half the time,Much more,Much more,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,,"I think that ECAW could be a great solution for the reproducibility of exploratory research. The preregistering practices have reduced and difficult the exploratory research which is part of the science. Today, for some people, if you explore your data, you are a bad scientist and researcher conducting bad practices. 
Theoretically or previous data driven hypothesis come after theories or previous data have been gotten and before to that, we need to explore and get new knowledge. It seems to me that now science is more focused on replicability than discovery. 
",,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",more concerned,0,R,,
2022-10-15 23:30:02,2022-10-15 23:36:48,IP Address,100,406,True,2022-10-15 23:36:49,R_wU9Kjv2znIWEMDL,anonymous,EN-GB,Somewhat agree,Somewhat agree,Sometimes,Never or almost never,Most of the time,Always or almost always,Never or almost never,Much more,Much more,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,I would not be less willing to use Alspac data if required ECAWs,"As long as I could rerun my scripts on the full data without changing any coding, no incentives are required. I cannot see any drawbacks that are not easily outweighed by the gains.",,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",somewhat more concerned,12,"Stata,R",,
2022-10-16 14:28:18,2022-10-16 14:32:37,IP Address,100,258,True,2022-10-16 14:32:37,R_0DtrCDDLGMEXNNT,anonymous,EN-GB,Neither agree nor disagree,Neither agree nor disagree,Never or almost never,Never or almost never,Never or almost never,Always or almost always,Sometimes,Somewhat more,Somewhat more,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,,time,,No,somewhat more concerned,20,Stata,,
2022-10-17 10:28:05,2022-10-17 10:32:41,IP Address,100,275,True,2022-10-17 10:32:41,R_30o3HJmX6rQFhZG,anonymous,EN-GB,Somewhat agree,Somewhat agree,About half the time,Never or almost never,About half the time,I don't understand the question,About half the time,Somewhat more,Somewhat more,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,No,somewhat more concerned,20,"Stata,R",,
2022-10-17 10:32:58,2022-10-17 10:36:43,IP Address,100,225,True,2022-10-17 10:36:44,R_1AJCjayxMo9wusN,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Never or almost never,Sometimes,Sometimes,Somewhat more,About the same,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,,,No,more concerned,20,"Stata,SAS,Other (please describe)",SPSS,
2022-10-17 10:32:29,2022-10-17 10:37:31,IP Address,100,302,True,2022-10-17 10:37:32,R_C2GgQ2azeHraB7X,anonymous,EN-GB,Somewhat agree,Somewhat agree,About half the time,Never or almost never,Sometimes,Most of the time,Sometimes,Somewhat more,About the same,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,"It sounds like additional work, but I can see the benefits of it. I think trying to outline how it might end up  being less work overall (possibly?) would be useful otherwise I struggle to see researchers getting onboard",I think requiring pre-registration of an analysis plan beyond a project proposal would be useful,No,as concerned as a typical researcher in my field,10,R,,
2022-10-17 10:33:58,2022-10-17 10:49:14,IP Address,100,916,True,2022-10-17 10:49:15,R_WqG669wgrQc8A0N,anonymous,EN-GB,Somewhat disagree,Somewhat disagree,Never or almost never,I don't understand the question,Never or almost never,Most of the time,Most of the time,About the same,About the same,Somewhat agree,Somewhat disagree,Somewhat agree,Unsure,,"Based on the description of ECAW, it seems like researchers would be similarly free to retrospectively change their objectives and analyses as typical non-preregistered approaches, resulting in similar biases. I also don't see how basing a first round of analyses on a subset of data would lead to less bias, as I assume this just impacts on sample size and thus precision of estimates - this could still be substantially large in large datasets and just as prone to exploratory intentions.",,No,more concerned,50,Stata,,
2022-10-17 10:54:13,2022-10-17 11:11:38,IP Address,100,1044,True,2022-10-17 11:11:38,R_2fwxLQEcmSr5HJz,anonymous,EN-GB,Strongly disagree,Strongly disagree,Never or almost never,Never or almost never,Sometimes,About half the time,About half the time,Somewhat more,About the same,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,"The problem with ECAWs is that funders will not fund this time spend on ECAWs and thus researchers like me whose position is  dependent funded research would not be able to comply with ECAWs. 
You will retain the senior researchers whose position is not dependent on funded research but will loose/limit opportunities for ECR and middle level researchers.

Other than that I am a supported of ECAW as it will limit fishing expeditions by researchers ","as mentioned earlier. I would not mind this procedure if funding was available for the ECAW phase of the study.
","I know this takes a lot of work and resources but it would be beneficial for the ALSPAC study that summary variables are created (and checked) by the central ALSPAC team, instead of all researchers doing this for their own individual project. 
This would limit the variables to be chosen by the researcher chosen appropriate variables for their project, but it would also ensure data quality as you are more sure that the summary variables are created according to scale guidelines. 
Also centrally you can take decision on how much of the item-missing data you would impute...instead of external/non-ALSPAC researchers taking different decisions on item-missing imputation. This could lead to somewhat different results as different missing replacement approaches were employed.","Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",more concerned,5,"SAS,R",,
2022-10-17 11:03:03,2022-10-17 11:15:42,IP Address,100,758,True,2022-10-17 11:15:42,R_2ZHtn3VhkatLqml,anonymous,EN-GB,Strongly agree,Somewhat agree,Always or almost always,Never or almost never,Sometimes,Sometimes,Most of the time,About the same,Somewhat more,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,,,,No,as concerned as a typical researcher in my field,15,Stata,,
2022-10-17 11:19:24,2022-10-17 11:26:37,IP Address,100,433,True,2022-10-17 11:26:37,R_2uVBZoA7wjWL2Li,anonymous,EN-GB,Somewhat agree,Somewhat agree,Sometimes,Never or almost never,Most of the time,Most of the time,Always or almost always,About the same,Much more,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,"It would not really work for genetic studies where the sample size is vital. It doesnt really lend itself to this style of research, and a preregistration would be a better fit. 
I can see it would be useful for people looking only on the variables, and might help to streamline the process. ",Depends of study method - it would probably not work well for genetic studies.,"Seeing code from other studies would be really helpful. Often it's impossible to work out what they did! ",No,more concerned,5,"Stata,R,Other (please describe)",Bash,
2022-10-17 11:24:15,2022-10-17 11:32:16,IP Address,100,481,True,2022-10-17 11:32:17,R_2uU8oTTJRhgiamv,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Most of the time,Always or almost always,Always or almost always,Much more,Much more,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,"Sometimes you may need to access data at speed, or for other reasons not use an ECAW - I think it should always be optional rather than a requirement.","As in previous question - timeliness in situations where data may be needed rapidly. Work flows can be more complex than just analysing one set of data - often I re-use ALSPAC data for many analyses and know it well so does the ECAW actually protect trustworthiness in those cases? Not sure. I think it would need to be optional, and the incentive should be higher trust in your work rather than any material incentive. No more badges and stickers for papers! ","Require people to share their code. Make an open repository with all the projects that people have sent ALSPAC back their derived datasets for, with the scripts available so people can see what data have already been produced and browse options. People can then connect their ALSPAC publications to a specific address in that repository where their scripts are kept, and make it much easier for others to request that specific dataset from ALSPAC instead of just having to say ""data are available from ALSPAC through X process"" if they want to try and reproduce analyses. 

Not require that we use SPSS to extract ALSPAC data. Please set up and document and R or Python workflow! ","Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",more concerned,2,"R,Python",,
2022-10-17 10:37:05,2022-10-17 11:46:19,IP Address,100,4154,True,2022-10-17 11:46:19,R_2duJOH6UJuFWBew,anonymous,EN-GB,Strongly agree,Somewhat agree,About half the time,Never or almost never,Most of the time,Most of the time,Sometimes,About the same,About the same,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,My time is short and I suspect that this will lengthen the process from data analysis to publication.,,,No,somewhat less concerned,1,Other (please describe),SPSS,
2022-10-17 11:43:46,2022-10-17 11:47:30,IP Address,100,224,True,2022-10-17 11:47:31,R_1NqyEa9aRI76PWB,anonymous,EN-GB,Strongly agree,Strongly agree,Most of the time,Never or almost never,About half the time,Sometimes,Sometimes,About the same,About the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,I personal think that ECAW programs a structure already part of most project that apply to use  the ALSPAC dataset,,,less concerned,0,Stata,,
2022-10-17 11:44:46,2022-10-17 11:57:10,IP Address,100,743,True,2022-10-17 11:57:10,R_3O6tAKOIvToRIxI,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,About half the time,Most of the time,Most of the time,Somewhat more,Somewhat more,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,"RE Q1, If ALSPAC required an ECAW I would still be just as likely to use their data in my research","Using a reduced dataset may cause some computational problems in the reduced dataset that would not occur in the larger dataset (i.e. low counts in categories meaning that categories have to be grouped unnecessarily). Further some computationally intensive (time and energy consuming) may need to be run a greater number of times than otherwise might be the case. I would still be willing to use the ECAW despite this.    ",,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",as concerned as a typical researcher in my field,5,"Stata,R",,
2022-10-17 12:47:09,2022-10-17 13:00:31,IP Address,100,801,True,2022-10-17 13:00:31,R_2qmh2enoOkIoqOT,anonymous,EN-GB,Neither agree nor disagree,Neither agree nor disagree,Never or almost never,Never or almost never,Sometimes,Sometimes,Always or almost always,About the same,About the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,No,more concerned,250,Stata,,
2022-10-17 14:28:05,2022-10-17 14:30:46,IP Address,100,160,True,2022-10-17 14:30:46,R_DuWextjza8mRPFf,anonymous,EN-GB,Somewhat agree,Somewhat agree,About half the time,Never or almost never,Sometimes,Most of the time,About half the time,Much more,Much more,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,,,,,somewhat less concerned,2,Stata,,
2022-10-17 14:27:11,2022-10-17 14:47:04,IP Address,100,1192,True,2022-10-17 14:47:04,R_1nN4pfTrYrx17hU,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Never or almost never,About half the time,About half the time,Somewhat more,Much more,Neither agree nor disagree,Somewhat agree,Unsure,Neither agree nor disagree,"Running a study on ECAWs would be challenging - undue burden to randomize people, and if optional, those that opt in likely already subscribe to an open science framework, post syntax to repositories, etc. 

 ","Reservations: some analyses use small subsets of data - would be challenging to implement this framework for those analyses. May discourage investigators if null associations in preliminary analysis - may not proceed to full analysis, which may affect publication bias.

Incentive: offer discounted data access fees for others who use this approach, provide clear guidelines and instructions for each step, and provide repository for posting syntax, etc. Incentivize publishing null results? Or provide a platform for sharing null results to prevent investigators asking the same question in the future? ","Data management organizations could provide a repository for investigators to share their syntax - this is not currently required by many journals and would help with rigor and reproducibility for investigators using the same data sources. 

With existing data sources that publish data requests/proposals, sometimes it's unclear whether an investigator did not proceed with an approved analysis due to lack of funding/time or whether they proceeded with the analysis and did not publish, potentially due to null results. Asking investigators to clarify where submitted proposals stand and making that available would be helpful, maybe update the status of each proposal annually? (e.g., working to secure funding, analyzing data, working on manuscript, on hold, no longer pursuing, etc.)",No,as concerned as a typical researcher in my field,20,"SAS,R",,
2022-10-17 16:37:12,2022-10-17 16:42:36,IP Address,100,324,True,2022-10-17 16:42:37,R_2AStSq9eLkxmY0Y,anonymous,EN-GB,Somewhat agree,Somewhat agree,I don't understand the question,Most of the time,Most of the time,Sometimes,Most of the time,Somewhat more,Somewhat more,Unsure,Somewhat agree,Somewhat agree,Strongly agree,Hard to say without seeing what the requirements are...,"This can lead to p-value hacking and information leaking if not properly controlled. As well the size of the data sets may not always be appropriate for splitting and training and testing separately. Consider allowing bootstrapping procedures or cross-validation methods when sample sizes are smaller. ",,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",more concerned,2,R,,
2022-10-17 17:04:57,2022-10-17 17:09:17,IP Address,100,259,True,2022-10-17 17:09:18,R_2a9vGMJ9KIenLZ5,anonymous,EN-GB,Somewhat agree,Strongly agree,Sometimes,Always or almost always,Sometimes,Most of the time,Most of the time,Somewhat more,About the same,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,,more concerned,120,Stata,,
2022-10-17 18:18:36,2022-10-17 18:26:34,IP Address,100,478,True,2022-10-17 18:26:35,R_1HhPNvyrRrRb474,anonymous,EN-GB,Somewhat agree,Somewhat disagree,Sometimes,Never or almost never,Never or almost never,Sometimes,Most of the time,Somewhat more,Somewhat more,Somewhat agree,Unsure,Somewhat agree,Unsure,,,,No,as concerned as a typical researcher in my field,10,"Stata,R",,
2022-10-17 20:41:56,2022-10-17 20:51:53,IP Address,100,597,True,2022-10-17 20:51:53,R_3JIXEDR0xJDuqRj,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Sometimes,About half the time,About half the time,Somewhat more,Somewhat more,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,,"My main reservation is logistical. I just completed an ALSPAC data request that took almost an entire year to go from initial application to the receipt of data, largely because of barriers at my own institution. Adding even one more step to a process that already manifests as burdensome and time-consuming would be a disincentive.","I think many of the ideas related to open science are great but aspirational - we barely have enough resources and manpower in academic to conduct one analysis, much less replications etc.",No,somewhat more concerned,4,"SAS,R",,
2022-10-18 01:52:56,2022-10-18 01:55:33,IP Address,100,157,True,2022-10-18 01:55:34,R_ZxEoYDqdUs1etXz,anonymous,EN-GB,Strongly agree,Strongly agree,Always or almost always,Always or almost always,Always or almost always,Always or almost always,Always or almost always,Somewhat more,Somewhat more,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,No,more concerned,2,R,,
2022-10-18 03:08:44,2022-10-18 03:16:37,IP Address,100,472,True,2022-10-18 03:16:37,R_3MmoyPtlIgoPK9r,anonymous,EN-GB,Strongly agree,Strongly agree,Sometimes,Sometimes,Sometimes,About half the time,About half the time,Much more,Much more,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,,"Sounds like a brilliant idea. The incentives or disincentives would be related to the cost of data access - does the full bill come with the ECAW, or once the researcher has decided to proceed with the full dataset analysis?",,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",as concerned as a typical researcher in my field,180,"Stata,SAS",,
